BREACH LIST,,,,,
(Dissemination Date: 17-Oct-2024 ),,,,,
List of listed Indian companies where foreign investment has reached its permissible limit as applicable for FPI/NRI/Overall Sectoral Limit,,,,,
,,,,,
Overall / Sectoral Limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Date when company was included in Breach List,Listed on Stock Exchange*
1,ABBOTT INDIA LIMITED,INE358A01014,ABBOTT INDIA LIMITED EQ,Equity,31-May-2018,NSE/BSE
,,,,,
,,,,,
Aggregate FPI Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Date when company was included in Breach List,Listed on Stock Exchange*
,,,,,
NIL,,,,,
,,,,,
Aggregate NRI (Repatriable) Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Date when company was included in Breach List,Listed on Stock Exchange*
1,BOMBAY METRICS SUPPLY CHAIN LIMITED,INE0I3Y01014,BOMBAY METRICS SUPPLY CHAIN LIMITED EQ,Equity,01-Dec-2022,NSE
2,DHARANI SUGARS AND CHEMICALS LTD.,INE988C01014,DHARANI SUGARS & CHEMICALS LTD EQ,Equity,02-Aug-2018,NSE/BSE
3,INTENSE TECHNOLOGIES LIMITED,INE781A01025,INTENSE TECHNOLOGIES LIMITED EQ NEW FV RS. 2/-,Equity,03-Apr-2020,NSE/BSE
4,XTGLOBAL INFOTECH LIMITED,INE547B01028,XTGLOBAL INFOTECH LIMITED EQ NEW FV RE. 1/-,Equity,04-Mar-2024,BSE
,,,,,
Note :,,,,,
* Information of Listed Companies as available from websites of respective Stock Exchanges viz.  NSE  BSE  MSEI & CSE,,,,,
,,,,,
,,,,,
